Date,GC=F
2000-11-30,0.01963009560907447
2000-12-31,0.007034408935763681
2001-01-31,-0.023529389325310235
2001-02-28,0.0045180032450204965
2001-03-31,-0.033358299489093635
2001-04-30,0.023652602744783424
2001-05-31,0.004924196185487784
2001-06-30,0.019977454030954744
2001-07-31,-0.01626013967938056
2001-08-31,0.03080383663948072
2001-09-30,0.06559766909758169
2001-10-31,-0.04411762710587219
2001-11-30,-0.02003580001257821
2001-12-31,0.017524711272395743
2002-01-31,0.0121994752334591
2002-02-28,0.05175471743222215
2002-03-31,0.01988538474466761
2002-04-30,0.02081952302014689
2002-05-31,0.0569763886412169
2002-06-30,-0.039816232771822224
2002-07-31,-0.03285482549591312
2002-08-31,0.030342946302954532
2002-09-30,0.036811780488736456
2002-10-31,-0.01821548011010443
2002-11-30,-0.0037736232925511537
2002-12-31,0.09722228376686348
2003-01-31,0.059551154562663244
2003-02-28,-0.04914465431943482
2003-03-31,-0.04083386011446777
2003-04-30,0.009526681349143917
2003-05-31,0.07490413871809443
2003-06-30,-0.050754458161865634
2003-07-31,0.023121387283236983
2003-08-31,0.06129946951138776
2003-09-30,0.02581842260922751
2003-10-31,-0.002335220318467557
2003-11-30,0.03198956513125806
2003-12-31,0.04763111137978071
2004-01-31,-0.03247534184164658
2004-02-29,-0.01442073131405408
2004-03-31,0.07795154987957353
2004-04-30,-0.09431310307571206
2004-05-31,0.018087855297157507
2004-06-30,-0.00355328400122934
2004-07-31,-0.004075410286911052
2004-08-31,0.04961635267643061
2004-09-30,0.020224216457080058
2004-10-31,0.023405749957616573
2004-11-30,0.053208839656869955
2004-12-31,-0.030578303049499378
2005-01-31,-0.03588574218750007
2005-02-28,0.034850670062718025
2005-03-31,-0.01786938784185277
2005-04-30,0.014695562429623443
2005-05-31,-0.04298853380926726
2005-06-30,0.047081447701754264
2005-07-31,-0.013764625106704842
2005-08-31,0.009071863112013467
2005-09-30,0.08114341447107298
2005-10-31,-0.00831555201809031
2005-11-30,0.06342721912034177
2005-12-31,0.04549124384303549
2006-01-31,0.10384841373504727
2006-02-28,-0.01611775123297321
2006-03-31,0.03596868426847033
2006-04-30,0.12031626240753601
2006-05-31,-0.014268161962474268
2006-06-30,-0.045136186770427966
2006-07-31,0.03374085119320491
2006-08-31,-0.013087334647132298
2006-09-30,-0.04361726755591999
2006-10-31,0.00918810595442543
2006-11-30,0.07084928084397246
2006-12-31,-0.01808627572340671
2007-01-31,0.026448342994510377
2007-02-28,0.02668715400929833
2007-03-31,-0.009560836839921816
2007-04-30,0.02639517345399689
2007-05-31,-0.028655400440852352
2007-06-30,-0.01951592195773444
2007-07-31,0.029007945589147877
2007-08-31,0.00914676167735462
2007-09-30,0.10371469211436679
2007-10-31,0.06623588181956763
2007-11-30,-0.012373721960819206
2007-12-31,0.06737408768165887
2008-01-31,0.1051622771895202
2008-02-29,0.053538487835006254
2008-03-31,-0.05750433575025271
2008-04-30,-0.05828424329031323
2008-05-31,0.028395920661369756
2008-06-30,0.04384089366531008
2008-07-31,-0.013280055744826935
2008-08-31,-0.0925703406949071
2008-09-30,0.054142077746263784
2008-10-31,-0.18005035714502649
2008-11-30,0.13867191142136548
2008-12-31,0.08257775345610985
2009-01-31,0.04945678294983291
2009-02-28,0.015313288465395258
2009-03-31,-0.02007437537340684
2009-04-30,-0.03457615892374899
2009-05-31,0.09891094013531898
2009-06-30,-0.05281979245178181
2009-07-31,0.028691659283328397
2009-08-31,-0.0020970954958590138
2009-09-30,0.05915728388235153
2009-10-31,0.0314483642578125
2009-11-30,0.13600079932165676
2009-12-31,-0.07272883429825483
2010-01-31,-0.01113947380916247
2010-02-28,0.03259468959198997
2010-03-31,-0.0044710719678850985
2010-04-30,0.060001728040995905
2010-05-31,0.027201064528451724
2010-06-30,0.027470755790686807
2010-07-31,-0.051224447071959056
2010-08-31,0.056359567071322614
2010-09-30,0.047664822296416
2010-10-31,0.03769683813820657
2010-11-30,0.02055856231374298
2010-12-31,0.02606496432197658
2011-01-31,-0.061431235140101736
2011-02-28,0.056605186111917005
2011-03-31,0.021003316937759697
2011-04-30,0.08138159260482469
2011-05-31,-0.012917722098931494
2011-06-30,-0.021876408003024705
2011-07-31,0.08387139446496517
2011-08-31,0.12295028260667151
2011-09-30,-0.11380911981730246
2011-10-31,0.06405821105522813
2011-11-30,0.012353583941147939
2011-12-31,-0.10295041602513622
2012-01-31,0.10984799759632669
2012-02-29,-0.01605479550589073
2012-03-31,-0.02374406398400397
2012-04-30,-0.0035344301452602256
2012-05-31,-0.060598802061237356
2012-06-30,0.02617434087615811
2012-07-31,0.004365450576863328
2012-08-31,0.04601054056872855
2012-09-30,0.0513475016345728
2012-10-31,-0.030263664572749538
2012-11-30,-0.003842780544941693
2012-12-31,-0.02109999127406692
2013-01-31,-0.008478667798059503
2013-02-28,-0.04992173047865511
2013-03-31,0.01083862469764818
2013-04-30,-0.07687490212101367
2013-05-31,-0.05406872587013456
2013-06-30,-0.12121207074327978
2013-07-31,0.07239742772585966
2013-08-31,0.06377624932553916
2013-09-30,-0.04985314576538602
2013-10-31,-0.0021862227018940583
2013-11-30,-0.055152615100105384
2013-12-31,-0.0389412698885252
2014-01-31,0.031782968962412506
2014-02-28,0.06555926975944915
2014-03-31,-0.028757378006595613
2014-04-30,0.009505961461583112
2014-05-31,-0.038592158800703436
2014-06-30,0.06117539718667908
2014-07-31,-0.030640035182255
2014-08-31,0.0035120579321881173
2014-09-30,-0.05856279823348365
2014-10-31,-0.032548553832352334
2014-11-30,0.0035009612086160935
2014-12-31,0.00740305786561013
2015-01-31,0.07990537514580831
2015-02-28,-0.05154479813379931
2015-03-31,-0.02432789097306831
2015-04-30,-0.0005916247031687583
2015-05-31,0.005920162259357875
2015-06-30,-0.015049625060231997
2015-07-31,-0.06538623609555061
2015-08-31,0.033518997491588376
2015-09-30,-0.01422762100856445
2015-10-31,0.023307933662034985
2015-11-30,-0.06631620777212
2015-12-31,-0.005160442623405204
2016-01-31,0.052909528437672826
2016-02-29,0.10524901238843065
2016-03-31,0.0002430721710657835
2016-04-30,0.044563281620435546
2016-05-31,-0.05771013431711747
2016-06-30,0.08528150429848669
2016-07-31,0.023209932508562403
2016-08-31,-0.031208284348359983
2016-09-30,0.00489710329367532
2016-10-31,-0.03182825498668307
2016-11-30,-0.079197759474538
2016-12-31,-0.017765671302238273
2017-01-31,0.05095650050951095
2017-02-28,0.03640575946451485
2017-03-31,-0.004231140716199788
2017-04-30,0.015072497411890318
2017-05-31,0.0046599988372419965
2017-06-30,-0.024606956625884413
2017-07-31,0.020875332822895
2017-08-31,0.03915993726669087
2017-09-30,-0.02636373838259143
2017-10-31,-0.011314865392118678
2017-11-30,0.004893410553965971
2017-12-31,0.025997564346263102
2018-01-31,0.025032496325182008
2018-02-28,-0.0175504107542942
2018-03-31,0.005549257946123154
2018-04-30,-0.004989490030709587
2018-05-31,-0.01223216546361594
2018-06-30,-0.037535518555654845
2018-07-31,-0.022057137840039376
2018-08-31,-0.019122254864308075
2018-09-30,-0.007331540839906392
2018-10-31,0.01745702797156934
2018-11-30,0.006516457993535951
2018-12-31,0.04761522699656795
2019-01-31,0.03238668603799488
2019-02-28,-0.005228387208488505
2019-03-31,-0.01508230354333051
2019-04-30,-0.007888593327049498
2019-05-31,0.01792952847250895
2019-06-30,0.07956800310812806
2019-07-31,0.011633698646601687
2019-08-31,0.06521281929185174
2019-09-30,-0.03515240950054355
2019-10-31,0.031179692136612758
2019-11-30,-0.03030306212009004
2019-12-31,0.03677676399558716
2020-01-31,0.04172426746565483
2020-02-29,-0.011876965404106432
2020-03-31,0.012339395901400207
2020-04-30,0.06366043021573997
2020-05-31,0.03129086496263023
2020-06-30,0.03229890885911102
2020-07-31,0.09470164463364461
2020-08-31,0.002445448664359917
2020-09-30,-0.040709481896636146
2020-10-31,-0.005350980442880737
2020-11-30,-0.05417069986132994
2020-12-31,0.06611478720635455
2021-01-31,-0.02419308401482434
2021-02-28,-0.06452664434118571
2021-03-31,-0.008274941820402448
2021-04-30,0.031217177311076982
2021-05-31,0.07650084730180629
2021-06-30,-0.06922467867115645
2021-07-31,0.023605108202631175
2021-08-31,0.001324078366097714
2021-09-30,-0.032892535080922825
2021-10-31,0.01578074995803025
2021-11-30,-0.005272027153147785
2021-12-31,0.03039018107578384
2022-01-31,-0.017783857729138153
2022-02-28,0.0581615734897285
2022-03-31,0.02621876704101611
2022-04-30,-0.020469886796252945
2022-05-31,-0.034881944143419163
2022-06-30,-0.020947509962970234
2022-07-31,-0.022836844814264845
2022-08-31,-0.028419067951734323
2022-09-30,-0.02942551551685524
2022-10-31,-0.0159408082355752
2022-11-30,0.06730238641898212
2022-12-31,0.042210739502792194
2023-01-31,0.06033964487244958
2023-02-28,-0.05213784689605472
2023-03-31,0.0766034084508378
2023-04-30,0.010716087143695985
2023-05-31,-0.013165143205512098
2023-06-30,-0.02179339492645216
2023-07-31,0.025714447473768498
2023-08-31,-0.01639180351592251
2023-09-30,-0.046486419283759184
2023-10-31,0.07418428515614806
2023-11-30,0.026647202153533778
2023-12-31,0.011922833545408684
2024-01-31,-0.006788208234537962
2024-02-29,-0.0013180781588525425
2024-03-31,0.08393212849886278
2024-04-30,0.033372419617130555
2024-05-31,0.013747054788550983
2024-06-30,0.0020664036462707536
2024-07-31,0.04244535416963191
2024-08-31,0.027735441511693715
2024-09-30,0.057061531013681055
2024-10-31,0.038769374221692354
2024-11-30,-0.02968997092298853
2024-12-31,-0.01046294649157875
2025-01-31,0.06971704405609214
2025-02-28,0.008640017361111196
2025-03-31,0.10081782116372473
2025-04-30,0.058345058384461135
2025-05-31,-0.004871436507186133
2025-06-30,0.0016722916973181956
2025-07-31,-0.0003642396817160609
2025-08-31,0.028968829071683855
